id,id_long,WIGOS,short_name,location,radar_type,postchange_start,prechange_end,site_lat,site_lon,site_alt,band,doppler,dp,eth_dhz_threshold,beamwidth,state,notes
42,042_1,0-20000-0-99131,Tindal,Katherine (Tindal),WSR81C,15/10/2003,-,-14.513,132.446,148.374,C,,,18,1.7,NT,
43,043_1,0-20000-0-94578,BrisAP,Brisbane Airport,WF100C,04/11/1999,26/01/2009,-27.392,153.13,6,C,,,18,3,QLD,airport radar
44,044_1,0-20000-0-94461,Giles,Giles,WF100-5C,15/10/2003,-,-25.0334,128.3016,607.374,C,,,18,2,NT,
45,045_1,0-20000-0-94647,Eucla,Eucla,WF100C,30/09/2008,12/12/2012,-31.681,128.892,108,C,,,18,1.7,SA,
46,046_1,0-20000-0-95679,Sellick,Adelaide (Sellicks Hill),WSR81C,13/12/1993,-,-35.3295,138.5024,395.074,C,,,18,1.7,SA,
47,047_1,0-20000-0-06821,Rhmptn,Rockhampton,WF100C,15/12/1998,31/08/2014,-23.383,150.467,14,C,,,18,1.6,QLD,
48,048_1,0-20000-0-94637,Kgrlie,Kalgoorlie,WF100C,13/11/2003,22/04/2014,-30.7843,121.4548,388,C,,,18,1.6,WA,
48,048_2,0-20000-0-94637,Kgrlie,Kalgoorlie,DWSR2502C,23/04/2014,-,-30.7843,121.4549,389.975,C,Yes,,18,1,WA,
49,049_1,0-20000-0-94862,NEVic,Yarrawonga,WF100-6C,25/06/2002,19/11/2006,-36.0296,146.0228,146,C,,,18,1,VIC,
49,049_1,0-20000-0-94862,NEVic,Yarrawonga,WF100-6C,20/11/2006,-,-36.0296,146.0228,146,C,Yes,,18,1,VIC,
50,050_1,,Marburg,Brisbane (Marburg),WSR74S,04/11/1994,-,-27.608,152.539,371.06,S,,,18,1.9,QLD,
51,051_1,0-20000-0-94866,MelbnAP,Melbourne Airport,WF100C,23/01/2007,17/05/2018,-37.6656,144.8312,123,C,,,18,1.7,VIC,
52,052_1,,WTakone,N.W. Tasmania (West Takone),WSR81C,06/06/1998,4/04/2016,-41.1791,145.58,599,C,,,18,1.5,TAS,
52,052_2,,WTakone,N.W. Tasmania (West Takone),Wurrung-2502C,5/04/2016,-,-41.181,145.579,600.975,C,Yes,,18,1,TAS,
53,053_1,0-20000-0-95527,Moree,Moree,WF100-5C,07/01/1997,-,-29.4903,149.8461,221.524,C,,,18,1.7,NSW,
54,054_1,,Kurnell,Sydney (Kurnell),WF100-6C,23/02/1999,-,-34.0148,151.2263,63.76,C,Yes,,18,1,NSW,
55,055_1,0-20000-0-94910,Wagga,Wagga Wagga,WF100-6C,01/01/2000,-,-35.167,147.467,229.374,C,,,18,1.7,NSW,
56,056_1,0-20000-0-94346,Longrch,Longreach,WF100-6C,18/12/2000,-,-23.4278,144.2882,201.574,C,,,18,1.7,QLD,
57,057_1,,Esale,East Sale,WF44,27/09/2003,05/05/2008,-38.12,147.13,17,S,,,18,3,VIC,
58,058_1,,SthDood,South Doodlakine,Wurrung-2502C,15/02/2017,-,-31.777,117.9529,416.016,C,Yes,,0,1.7,WA,
63,063_1,,Berrima,Darwin (Berrimah),WF100C,07/12/2000,8/10/2014,-12.457,130.925,59.975,C,Yes,,18,1,NT,
63,063_2,,Berrima,Darwin (Berrimah),DWSR2502C,9/10/2014,-,-12.457,130.925,59.975,C,Yes,,18,1,NT,
64,064_1,,BuckPk,Adelaide (Buckland Park),Meteor1500S,27/10/2005,28/01/2018,-34.6169,138.4689,28.993,S,Yes,,0,1,SA,
64,064_2,,BuckPk,Adelaide (Buckland Park),Meteor1500SDP,29/01/2018,-,-34.6169,138.4689,28.993,S,Yes,Yes,0,1,SA,
65,065_1,0-20000-0-94238,Tennant,Tennant Creek,WF100C,10/07/2007,30/06/2015,-19.6423,134.1832,394,C,,,18,1.8,NT,
66,066_1,,MtStapl,Brisbane (Mt Stapylton),Meteor1500SDP,08/06/2006,22/08/2017,-27.7178,153.24,174.993,S,Yes,,0,1,QLD,
66,066_1,,MtStapl,Brisbane (Mt Stapylton),Meteor1500SDP,21/09/2017,-,-27.7178,153.24,174.993,S,Yes,Yes,0,1,QLD,
67,067_1,,Warrego,Warrego,TVDR2500,06/10/2006,-,-26.44,147.3492,534.374,C,,,0,1.7,QLD,
68,068_1,0-20000-0-08518,Bnsdale,Bairnsdale,DWSR8502S,06/05/2008,31/08/2020,-37.8876,147.5755,65.316,C,,,0,1.7,VIC,
68,068_2,0-20000-0-08518,Bnsdale,Bairnsdale,Wurrung-2502C,19/10/2020,-,-37.8876,147.5755,65.316,C,Yes,,0,1.7,VIC,
69,069_1,0-20000-0-05528,Namoi,Namoi (Blackjack Mountain),DWSR8502S,02/06/2010,-,-31.0236,150.1917,720.045,S,Yes,,0,1.9,NSW,
70,070_1,0-20000-0-00927,Serptin,Perth (Serpentine),TVDR2500,02/02/2010,-,-32.3917,115.867,39.76,C,Yes,,0,1,WA,
71,071_1,,THills,Sydney (Terrey Hills),Meteor1500S,15/05/2009,31/08/2017,-33.7008,151.2094,223.493,S,Yes,,0,1,NSW,
71,071_2,,THills,Sydney (Terrey Hills),Meteor1500SDP,21/09/2017,-,-33.7008,151.2094,223.493,S,Yes,Yes,0,1,NSW,
72,072_1,,Emerald,Emerald,DWSR8502S,09/03/2010,-,-23.5498,148.2392,211.275,S,Yes,,0,1.9,QLD,
73,073_1,0-20000-0-03332,HrvyRng,Townsville (Hervey Range),DWSR2502C,03/08/2011,-,-19.4198,146.5509,612.525,C,Yes,,0,1,QLD,
74,074_1,,Grnvale,Greenvale,Meteor1700SDP,30/11/2021,-,-18.9803,144.9405,595.443,S,Yes,Yes,0,1,QLD,
75,075_1,0-20000-0-02918,MntIsa,Mount Isa,DWSR8502S,14/09/2012,-,-20.7112,139.5552,516.675,S,Yes,,0,1.9,QLD,
